ServiceName,ParentService,Code,ShowInSnow,EstimatesOnly,TrackChemicals,SalesTaxCode,ServiceMode,InvoiceDescription,Active,DefaultRate,MinimumAmount,MinimumAmountMessage,DefaultBudgetedHours,DefaultCommission,PayOnBudgetedHours,InvoiceTimeFormat,Class,Account,EstimateDescription,CallScriptNotes,NumberOfVisits,RatePer,TargetPerHour,TargetPerHourWithDrive,AverageServiceYears,MatrixCalculation,MatrixCustomField,ChemicalProducts
Blown Play Ground Chips Plus,,Blown Play,False,False,False,,PerUnit,play ground chips - blown In ( 15 plus ),True,62.00,0.00,,0.00,None,False,None,,Sales,Blower Installed Playground Chips play ground chips - blown In ( 15 plus ),,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Lawn Leaf cleanup w/contract,,Lawn leaf,False,False,False,Non,PerUnit,Lawn/leaf and debris cleanup included with full service mowing agreement,True,60.00,0.00,,0.50,None,False,None,,Sales,Weekly Leaf Sevice clean leaves each week from areas of turfclean leaves from mulch bedsclean leaves from sidewalks. patios &amp; drivewayall leaves to be blown into woods (Schedule includes 7,,8,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Landscape Edge Stones,,Edge Stones,False,False,False,Non,PerUnit,Delivery and Installation of Landscape Edge Stones,True,0.01,0.00,,0.00,None,False,None,,Sales,Stone Landscape EdgingDelivery and Installation of Landscape Edge Stones,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Pulling Weeds,,Pulling We,False,False,False,,PerUnit,pulling of weeds in flower beds,True,0.00,0.00,,0.00,None,False,None,,Sales,Weed Pulling in Flower Bedspulling of weeds in flower beds,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Planting plants,,Planting,False,False,False,,PerUnit,Plants,True,0.00,0.00,,0.00,None,False,None,,Sales,Plant Installation *Please note that nurserys do not warranty plants.  Plants selected will thrive if properly watered after installation.,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Patio Pavers,,Patio Pave,False,False,False,,PerUnit,installation of patio pavers,True,0.01,0.00,,0.00,None,False,None,,Sales,Patio Paver Installation installation of patio pavers,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Irrigation -  Marking Heads,,Irrigation Marking,False,False,False,Non,FlatRate,Locate and mark irrigation heads,True,45.00,0.00,,0.50,None,False,None,,Sales,Irrigation Marking Locate and mark irrigation heads,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Core Aeration & Seeding,,GL5 Core AS,False,False,False,Non,PerUnit,Core Aeration and Seeding,True,45.50,0.00,,0.15,None,False,None,,Sales,"Core Aeration and Seed Core Aeration and Seeding 100% weed free blue tag fescue *SEED WILL BE APPLIED AT A RATE OF 5 POUNDS PER 1,000 SQUARE FEET. EXTRA SEED CAN BE PURCHASED",,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,Turf 1000 Sq Ft,
Lawn Mowing Full Svc,,Lawn Mowin,False,False,False,,PerUnit,"Mowing grass, trimming around trees and sidewalks etc., and blowing to clean clippings off of sidewalks and driveways.",True,65.00,0.00,,0.55,None,False,None,,Sales,"Lawn Mowing Full Service  Mowing grass, trimming around trees and sidewalks etc., and blowing to clean clippings off of sidewalks and driveways. (Schedule includes 32 visits between late March and early November)<",,32,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
Spot Spray Treament,,Spot Spray,False,False,False,Non,FlatRate,Spot spray treatment,True,0.00,0.00,,0.00,None,False,None,,Sales,Spot spray treatment,,0,NotSet,0.00,0.00,0.00,Calc X Qty X Rate X Visits,,
