ScheduleID,ScheduleName,ScheduleType,PackageRoundID,StartDate,EndDate
60513209-505e-4845-8b50-30f2015cb4ce,Mulch Included- Blower,Package,46b2822f-ca57-40c9-b32e-4fd8cdf25be2,1/3/2026,5/24/2026
54233d1b-5fd1-4b13-909d-3c7210ad1f6b,Insecticide Application,Package,6b719f2b-bbc9-4bce-9cc9-ea1f84117135,4/4/2023,10/15/2023
54233d1b-5fd1-4b13-909d-3c7210ad1f6b,Insecticide Application,Package,6df16ba5-cb27-4772-a491-8944d6e3a288,4/4/2024,10/15/2024
54233d1b-5fd1-4b13-909d-3c7210ad1f6b,Insecticide Application,Package,435d8316-d193-484f-90b2-49b94b19b09a,4/4/2025,10/15/2025
54233d1b-5fd1-4b13-909d-3c7210ad1f6b,Insecticide Application,Package,141745fa-1ccb-42f3-9a90-0ec72d88cac0,4/4/2026,10/15/2026
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,1ccec219-a6db-46ae-af00-11c4dd03ea75,5/8/2017,6/3/2017
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,2e598b52-958d-496c-9a60-6df87c469579,6/5/2017,7/1/2017
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,c0d100fa-a91d-40ca-acfb-3c9252a5efe3,7/3/2017,7/31/2017
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,04bd6798-ca70-4fb4-ba4a-2c36bfffe1dd,5/1/2018,6/3/2018
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,9b998b5b-ac91-4eb0-86fa-d9aa9a97c5ac,6/5/2018,7/1/2018
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,32417b6e-a75a-4d00-93f2-9fc6cebde128,7/3/2018,7/31/2018
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,5971dc4a-64d5-415e-ab6a-c94b81d8e64f,5/1/2019,6/1/2019
ca09f161-aab3-4b55-b9b0-4fb22bbe91be,Fungicide Pkg,Package,b493583a-a0bd-4044-813d-94bffeae9f4b,5/22/2019,6/11/2019
